local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
-1.199832,-12.188996,0.000000,0.000000,45
-1.187340,-12.108967,0.000000,0.000000,45
-1.369331,-11.867027,0.000000,0.000000,45
-2.462103,-10.737064,0.000000,0.000000,48
-2.457619,-10.898961,0.000000,0.000000,48
-2.449927,-10.992483,0.000000,0.000000,48
-2.435383,-11.075655,0.000000,0.000000,48
-2.417553,-11.142049,0.000000,0.000000,48
-2.385847,-11.232874,0.000000,0.000000,48
-2.336370,-11.338473,0.000000,0.000000,48
-2.256010,-11.461166,0.000000,0.000000,48
-2.196414,-11.530946,0.000000,0.000000,48
-2.088563,-11.629354,0.000000,0.000000,48
-1.954801,-11.719683,0.000000,0.000000,48
-1.844539,-11.774361,0.000000,0.000000,48
-1.741504,-11.810420,0.000000,0.000000,48
-1.643496,-11.832918,0.000000,0.000000,48
-1.537379,-11.847755,0.000000,0.000000,48
-1.439116,-11.857413,0.000000,0.000000,48
-1.369331,-11.867027,0.000000,0.000000,48
-2.462103,-10.737064,0.000000,0.000000,49
-2.457619,-10.898961,0.000000,0.000000,49
-2.449927,-10.992483,0.000000,0.000000,49
-2.435383,-11.075655,0.000000,0.000000,49
-2.417553,-11.142049,0.000000,0.000000,49
-2.385847,-11.232874,0.000000,0.000000,49
-2.336370,-11.338473,0.000000,0.000000,49
-2.256010,-11.461166,0.000000,0.000000,49
-2.196414,-11.530946,0.000000,0.000000,49
-2.088563,-11.629354,0.000000,0.000000,49
-1.954801,-11.719683,0.000000,0.000000,49
-1.844539,-11.774361,0.000000,0.000000,49
-1.741504,-11.810420,0.000000,0.000000,49
-1.643496,-11.832918,0.000000,0.000000,49
-1.537379,-11.847755,0.000000,0.000000,49
-1.439116,-11.857413,0.000000,0.000000,49
-1.369331,-11.867027,0.000000,0.000000,49
-2.462103,-10.737064,0.000000,0.000000,52
